Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MID_VA
6-August-2024,3095.20,3135.00,3088.65,3100.25,3115.282967435590000000,102351,10929,318852327.00,70243,68.63,46.35,5.05,
5-August-2024,3044.95,3144.00,3044.95,3095.60,3099.198090214310000000,229764,25779,712084150.00,167358,72.84,99.05,50.65,
2-August-2024,3093.80,3129.00,3059.70,3107.05,3103.382658257600000000,51056,6123,158446305.00,14893,29.17,69.30,13.25,
1-August-2024,3099.85,3126.95,3062.30,3097.05,3095.821541436720000000,42402,4394,131269025.00,16339,38.53,64.65,-2.80,
31-July-2024,3001.15,3098.25,3001.15,3082.30,3062.552183943400000000,195060,8962,597381429.00,139363,71.45,97.10,81.15,
30-July-2024,2965.00,3032.00,2965.00,3004.55,3010.972745394310000000,140967,12444,424447795.00,85818,60.88,67.00,39.55,
29-July-2024,2959.95,2965.00,2935.50,2954.75,2948.024276003880000000,17507,1986,51611061.00,8008,45.74,29.50,-5.20,
26-July-2024,2902.35,2963.95,2901.00,2949.95,2942.723060150650000000,110988,13269,326606947.00,57790,52.07,62.95,47.60,
25-July-2024,2898.45,2906.60,2886.00,2902.35,2897.338694091660000000,14488,1941,41976643.00,5626,38.83,20.60,3.90,
24-July-2024,2905.00,2927.00,2886.45,2911.90,2906.745687159890000000,17274,1944,50211125.00,6194,35.86,40.55,6.90,
23-July-2024,2932.55,2947.50,2884.90,2897.05,2911.250628056170000000,89164,7279,259578751.00,55151,61.85,62.60,-35.50,
22-July-2024,2945.75,2971.55,2917.05,2932.55,2940.428160919540000000,27492,2732,80838251.00,11821,43.00,54.50,-13.20,
19-July-2024,2930.45,2980.00,2918.20,2945.95,2952.824935355370000000,71545,7753,211259860.00,15439,21.58,61.80,15.50,
18-July-2024,2870.10,2956.75,2848.15,2930.45,2909.516220039170000000,128668,8784,374361633.00,27574,21.43,108.60,60.35,
16-July-2024,2958.00,3015.00,2942.40,2974.40,2980.540818713450000000,25650,2887,76450872.00,7831,30.53,72.60,16.40,
15-July-2024,2986.40,2995.00,2932.65,2956.45,2957.828904275800000000,109617,10093,324228331.00,47620,43.44,62.35,-29.95,
12-July-2024,3023.25,3050.85,2971.05,2999.50,3009.394791611080000000,168651,20095,507537441.00,64866,38.46,79.80,-23.75,
11-July-2024,3000.35,3030.00,2974.20,3023.25,3010.148680947690000000,66942,5669,201505373.00,28713,42.89,55.80,22.90,
10-July-2024,2905.00,3014.40,2893.95,2995.40,2967.752874357530000000,231530,22758,687123823.00,134491,58.09,120.45,90.40,
9-July-2024,2900.05,2912.95,2891.00,2905.20,2907.842288904400000000,37258,4357,108340388.00,28265,75.86,21.95,5.15,
8-July-2024,2920.05,2932.00,2891.05,2897.30,2903.464991726900000000,22966,3701,66680977.00,10274,44.74,40.95,-22.75,
